Name,Type,County,Population_2010,Area_SqMiles
Santa Barbara,City,Santa Barbara,88410,19.47
Santa Clara,City,Santa Clara,116468,18.41
Santa Clarita,City,Los Angeles,176320,52.72
Santa Cruz,City,Santa Cruz,59946,12.74
Santa Fe Springs,City,Los Angeles,16223,8.87
Santa Maria,City,Santa Barbara,99553,22.76
Santa Monica,City,Los Angeles,89736,8.41
Santa Paula,City,Ventura,29321,4.59
Santa Rosa,City,Sonoma,167815,41.29
Santee,City,San Diego,53413,16.24
Saratoga,City,Santa Clara,29926,12.38
Sausalito,City,Marin,7061,1.77
Scotts Valley,City,Santa Cruz,11580,4.59
Seal Beach,City,Orange,24168,11.29
Seaside,City,Monterey,33025,9.24
Sebastopol,City,Sonoma,7379,1.85
Selma,City,Fresno,23219,5.14
Shafter,City,Kern,16988,27.94
Shasta Lake,City,Shasta,10164,10.92
Sierra Madre,City,Los Angeles,10917,2.95
Signal Hill,City,Los Angeles,11016,2.19
Simi Valley,City,Ventura,124237,41.48
Solana Beach,City,San Diego,12867,3.52
Soledad,City,Monterey,25738,4.41
Solvang,City,Santa Barbara,5245,2.43
Sonoma,City,Sonoma,10648,2.74
Sonora,City,Tuolumne,4903,3.06
South El Monte,City,Los Angeles,20116,2.84
South Gate,City,Los Angeles,94396,7.24
South Lake Tahoe,City,El Dorado,21403,10.16
South Pasadena,City,Los Angeles,25619,3.41
South San Francisco,City,San Mateo,63632,9.14
Stanton,City,Orange,38186,3.15
Stockton,City,San Joaquin,291707,61.67
Suisun City,City,Solano,28111,4.11
Sunnyvale,City,Santa Clara,140081,21.99
Susanville,City,Lassen,17947,7.93
Sutter Creek,City,Amador,2501,2.56
Taft,City,Kern,9327,15.11
Tehachapi,City,Kern,14414,9.87
Tehama,City,Tehama,418,0.79
Temecula,City,Riverside,100097,30.15
Temple City,City,Los Angeles,35558,4.01
Thousand Oaks,City,Ventura,126683,55.03
Tiburon,Town,Marin,8962,4.43
Torrance,City,Los Angeles,145538,20.48
Tracy,City,San Joaquin,82922,22
Trinidad,City,Humboldt,367,0.48
Truckee,Town,Nevada,16180,32.32
Tulare,City,Tulare,59278,20.93
Tulelake,City,Siskiyou,1010,0.41
Turlock,City,Stanislaus,68549,16.93
Tustin,City,Orange,75540,11.08
Twentynine Palms,City,San Bernardino,25048,59.14
Ukiah,City,Mendocino,16075,4.67
Union City,City,Alameda,69516,19.47
Upland,City,San Bernardino,73732,15.62
Vacaville,City,Solano,92428,28.37
Vallejo,City,Solano,115942,30.67
Ventura,City,Ventura,106433,21.65
Vernon,City,Los Angeles,112,4.97
Victorville,City,San Bernardino,115903,73.18
Villa Park,City,Orange,5812,2.08
Visalia,City,Tulare,124442,36.25
Vista,City,San Diego,93834,18.68
Walnut,City,Los Angeles,29172,8.99
Walnut Creek,City,Contra Costa,64173,19.76
Wasco,City,Kern,25545,9.43
Waterford,City,Stanislaus,8456,2.33
Watsonville,City,Santa Cruz,51199,6.69
Weed,City,Siskiyou,2967,4.79
West Covina,City,Los Angeles,106098,16.04
West Hollywood,City,Los Angeles,34399,1.89
West Sacramento,City,Yolo,48744,21.43
Westlake Village,City,Los Angeles,8270,5.19
Westminster,City,Orange,89701,10.05
Westmorland,City,Imperial,2225,0.59
Wheatland,City,Yuba,3456,1.48
Whittier,City,Los Angeles,85331,14.65
Wildomar,City,Riverside,32176,23.69
Williams,City,Colusa,5123,5.44
Willits,City,Mendocino,4888,2.8
Willows,City,Glenn,6166,2.85
Windsor,Town,Sonoma,26801,7.27
Winters,City,Yolo,6624,2.91
Woodlake,City,Tulare,7279,2.25
Woodland,City,Yolo,55468,15.3
Woodside,Town,San Mateo,5287,11.73
Yorba Linda,City,Orange,64234,19.48
Yountville,Town,Napa,2933,1.53
Yreka,City,Siskiyou,7765,9.98
Yuba City,City,Sutter,64925,14.58
Yucaipa,City,San Bernardino,51367,27.89
Yucca Valley,Town,San Bernardino,20700,40.02
